seat_code,state,seat,current_party,personal_name,Jawatankuasa Pemilih-Dewan Rakyat ,Jawatankuasa Peraturan Mesyuarat ,Jawatankuasa Dewan ,Jawatankuasa Hak dan Kebebasan ,Jawatankuasa Pilihan Khas Kebebasan Asasi Dan Hak-Hak Di Bawah Perlembagaan ,Jawatankuasa Pilihan Khas Kewangan Dan Ekonomi ,Jawatankuasa Pilihan Khas Keselamatan ,Jawatankuasa Pilihan Khas Bagi Agensi-Agensi Di Bawah Jabatan Perdana Menteri ,Jawatankuasa Pilihan Khas Pertanian Dan Perdagangan Dalam Negeri ,Jawatankuasa Pilihan Khas Pembangunan Infrastruktur ,Jawatankuasa Pilihan Khas Pendidikan ,Jawatankuasa Pilihan Khas Hal Ehwal Wanita Dan Kanak-Kanak Dan Pembangunan Sosial ,"JAWATANKUASA PILIHAN KHAS KESIHATAN, SAINS DAN INOVASI  ",JAWATANKUASA PILIHAN KHAS HAL EHWAL ANTARABANGSA ,Jawatankuasa Pilihan Khas Menimbang Rang Undang-Undang Perlembagaan (Pindaan) (No.3) 2022 dan Mengenai Peruntukan Larangan Ahli Dewan Rakyat Bertukar Parti 
P001,Perlis,Padang Besar,UMNO,ZAHIDI BIN ZAINUL ABIDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P002,Perlis,Kangar,PKR,NOOR AMIN BIN AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P003,Perlis,Arau,UMNO,SHAHIDAN BIN KASSIM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P004,Kedah,Langkawi,PEJUANG,MAHATHIR BIN MOHAMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Kedah,Jerlun,PEJUANG ,MUKHRIZ MAHATHIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Kedah,Kubang Pasu,PEJUANG,AMIRUDDIN BIN HAMZAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P007,Kedah,Padang Terap,UMNO,MAHDZIR BIN KHALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P008,Kedah,Pokok Sena,AMANAH,MAHFUZ BIN OMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P009,Kedah,Alor Setar,PKR,CHAN MING KAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P010,Kedah,Kuala Kedah,PKR,AZMAN BIN ISMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P011,Kedah,Pendang,PAS,AWANG BIN HASHIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P012,Kedah,Jerai,PAS,SABRI BIN AZIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P013,Kedah,Sik,PAS,AHMAD TARMIZI BIN SULAIMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P014,Kedah,Merbok,PKR,NOR AZRINA BINTI SURIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P015,Kedah,Sungai Petani,PKR,JOHARI BIN ABDUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P016,Kedah,Baling,UMNO,ABDUL AZEEZ BIN ABDUL RAHIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P017,Kedah,Padang Serai,PKR,KARUPAIYA A/L MUTUSAMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P018,Kedah,Kulim Bandar Baharu,PKR,SAIFUDDIN NASUTION BIN ISMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P019,Kelantan,Tumpat,PAS,CHE ABDULLAH BIN MAT NAWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P020,Kelantan,Pengkalan Chepa,PAS,AHMAD MARZUK BIN SHAARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P021,Kelantan,Kota Bharu,PAS,TAKIYUDDIN BIN HASSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P022,Kelantan,Pasir Mas,PAS,AHMAD FADHLI BIN SHAARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P023,Kelantan,Rantau Panjang,PAS,SITI ZAILAH BINTI MOHD YUSOFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P024,Kelantan,Kubang Kerian,PAS,TUAN IBRAHIM BIN TUAN MAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P025,Kelantan,Bachok,PAS,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P026,Kelantan,Ketereh,UMNO,ANNUAR BIN MUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P027,Kelantan,Tanah Merah,PPBM,IKMAL HISHAM BIN ABDUL AZIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P028,Kelantan,Pasir Puteh,PAS,NIK MUHAMMAD ZAWAWI BIN SALLEH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P029,Kelantan,Machang,UMNO,AHMAD JAZLAN BIN YAAKUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P030,Kelantan,Jeli,PPBM,MUSTAPA BIN MOHAMED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P031,Kelantan,Kuala Krai,PAS,ABDUL LATIFF BIN ABDUL RAHMAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P032,Kelantan,Gua Musang,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P033,Terengganu,Besut,UMNO,IDRIS BIN JUSOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P034,Terengganu,Setiu,PAS,SHAHARIZUKIRNAIN BIN ABD KADIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P035,Terengganu,Kuala Nerus,PAS,MOHD KHAIRUDDIN BIN AMAN RAZALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P036,Terengganu,Kuala Terengganu,PAS,AHMAD AMZAD BIN MOHAMED @ HASHIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P037,Terengganu,Marang,PAS,ABDUL HADI BIN AWANG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P038,Terengganu,Hulu Terengganu,PPBM,ROSOL BIN WAHID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P039,Terengganu,Dungun,PAS,WAN HASSAN BIN MOHD RAMLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P040,Terengganu,Kemaman,PAS,CHE ALIAS BIN HAMID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P041,Pulau Pinang,Kepala Batas,UMNO,REEZAL MERICAN BIN NAINA MERICAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P042,Pulau Pinang,Tasek Gelugor,PPBM,SHABUDIN BIN YAHAYA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P043,Pulau Pinang,Bagan,DAP,LIM GUAN ENG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P044,Pulau Pinang,Permatang Pauh,PKR,NURUL IZZAH BINTI ANWAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P045,Pulau Pinang,Bukit Mertajam,DAP,SIM CHEE KEONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P046,Pulau Pinang,Batu Kawan,DAP,KASTHURIRAANI A/P PATTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P047,Pulau Pinang,Nibong Tebal,PPBM,MANSOR BIN OTHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P048,Pulau Pinang,Bukit Bendera,DAP,WONG HON WAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P049,Pulau Pinang,Tanjong,DAP,CHOW KON YEOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P050,Pulau Pinang,Jelutong,DAP,SANISVARA NETHAJI RAYER A/L RAJAJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P051,Pulau Pinang,Bukit Gelugor,DAP,RAMKARPAL SINGH A/L KARPAL SINGH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P052,Pulau Pinang,Bayan Baru,PKR,SIM TZE TZIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P053,Pulau Pinang,Balik Pulau,PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P055,Perak,Lenggong,UMNO,SHAMSUL ANUAR BIN NASARAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P056,Perak,Larut,PPBM,HAMZAH BIN ZAINUDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P057,Perak,Parit Buntar,AMANAH,MUJAHID BIN YUSOF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P058,Perak,Bagan Serai,PPBM,NOOR AZMI BIN GHAZALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P059,Perak,Bukit Gantang,PPBM,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P060,Perak,Taiping,DAP,TEH KOK LIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P061,Perak,Padang Rengas,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P062,Perak,Sungai Siput,PKR,KESAVAN A/L SUBRAMANIAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P063,Perak,Tambun,PPBM,AHMAD FAIZAL BIN AZUMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P064,Perak,Ipoh Timur,DAP,WONG KAH WOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P065,Perak,Ipoh Barat,DAP,M. KULASEGARAN A/L V. MURUGESON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P066,Perak,Batu Gajah,DAP,SIVAKUMAR A/L VARATHARAJU NAIDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P067,Perak,Kuala Kangsar,UMNO,MASTURA BINTI MOHD YAZID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P068,Perak,Beruas,DAP,NGEH KOO HAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P069,Perak,Parit,UMNO,MOHD NIZAR BIN ZAKARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P070,Perak,Kampar,DAP,SU KEONG SIONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P071,Perak,Gopeng,PKR,LEE BOON CHYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P072,Perak,Tapah,MIC,SARAVANAN A/L MURUGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P073,Perak,Pasir Salak,UMNO,TAJUDDIN BIN ABDUL RAHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P074,Perak,Lumut,AMANAH,MOHD HATTA BIN MD RAMLI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P075,Perak,Bagan Datuk,UMNO,AHMAD ZAHID BIN HAMIDI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P076,Perak,Teluk Intan,DAP,NGA KOR MING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P077,Perak,Tanjong Malim,PKR,CHANG LIH KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P078,Pahang,Cameron Highlands,UMNO,RAMLI BIN DATO' MOHD NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P079,Pahang,Lipis,UMNO,ABDUL RAHMAN BIN MOHAMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P080,Pahang,Raub,DAP,TENGKU ZULPURI SHAH BIN RAJA PUJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P081,Pahang,Jerantut,UMNO,AHMAD NAZLAN BIN IDRIS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P082,Pahang,Indera Mahkota,PPBM,SAIFUDDIN BIN ABDULLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P083,Pahang,Kuantan,PKR,FUZIAH BINTI SALLEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P084,Pahang,Paya Besar,UMNO,MOHD SHAHAR BIN ABDULLAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P085,Pahang,Pekan,UMNO,MOHD NAJIB BIN TUN ABD RAZAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P086,Pahang,Maran,UMNO,ISMAIL BIN ABD. MUTTALIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P087,Pahang,Kuala Krau,UMNO,ISMAIL BIN MOHAMED SAID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P088,Pahang,Temerloh,AMANAH,MOHD. ANUAR MOHD. TAHIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P089,Pahang,Bentong,DAP,WONG TACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P090,Pahang,Bera,UMNO,ISMAIL SABRI BIN YAAKOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P091,Pahang,Rompin,UMNO,HASAN BIN ARIFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P092,Selangor,Sabak Bernam,PPBM,MOHD FASIAH BIN MOHD FAKEH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P093,Selangor,Sungai Besar,PPBM,MUSLIMIN BIN YAHAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P094,Selangor,Hulu Selangor,PKR,JUNE LEOW HSIAD HUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P095,Selangor,Tanjong Karang,UMNO,NOH BIN OMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P096,Selangor,Kuala Selangor,AMANAH,DZULKEFLY BIN AHMAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P097,Selangor,Selayang,PKR,WILLIAM LEONG JEE KEEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P098,Selangor,Gombak,PPBM,MOHAMED AZMIN BIN ALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P099,Selangor,Ampang,PPBM,ZURAIDA BINTI KAMARUDDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P100,Selangor,Pandan,PKR,WAN AZIZAH BINTI WAN ISMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P101,Selangor,Hulu Langat,AMANAH,HASANUDDIN BIN MOHD YUNUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P102,Selangor,Bangi,DAP,ONG KIAN MING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P103,Selangor,Puchong,DAP,GOBIND SINGH DEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P104,Selangor,Subang,PKR,WONG CHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
